"","Dim.1","Dim.2","Dim.3","Dim.4","cluster","Species"
"24",0.430819679512483,-0.0470900291164922,-0.013708161228247,-0.0306826332962835,"2","Algeria"
"48",0.372218498099948,-0.0139779638998718,0.0213583518458506,-0.00699611925396587,"2","Argentina"
"73",0.167382257404257,0.17013263631094,-0.0790240164581911,-0.0473085158696055,"4","Australia"
"98",0.533733752300672,0.0542123717524987,-0.0792736828255142,0.00730293885909195,"2","Austria"
"123",0.572940457858285,0.0229067252750162,-0.0899043154334408,-0.00312756852558266,"2","Azerbaijan"
"148",0.202842070558671,-0.507968388230234,0.104103584664375,0.0417516443959152,"2","Bangladesh"
"173",0.553614223146709,0.037824449704776,-0.0833758922305884,-0.0105247953197697,"2","Belarus"
"198",0.512075441881103,0.054750138460828,-0.0691514931721439,-0.00531121885341093,"2","Belgium"
"223",-0.347397581636976,-0.363418837146263,0.378045734545334,0.18409770419544,"4","Brazil"
"248",0.552335255877926,0.0461374503405036,-0.104017823154189,0.0082614780345748,"2","Bulgaria"
"273",-0.0551343100629976,0.331964230764367,0.225734960771496,0.112159816000061,"4","Canada"
"298",0.488713200746278,0.0283812508643602,-0.0768556221917829,0.0111274147838824,"2","Chile"
"323",-14.3903597619063,0.525841753920728,-1.14119241982955,0.0120370618830821,"3","China"
"348",0.429756714146566,-0.0878315835142747,-0.0271600626186885,0.00760351645142637,"2","Colombia"
"373",0.597416655238156,0.0352081946371437,-0.105704201894484,-0.00138090264269422,"2","Croatia"
"398",0.613239817212643,0.0398549572870447,-0.113106964477866,-0.00140037419714928,"2","Cyprus"
"423",0.476399262380415,0.0667889782564733,-0.110946855606426,0.00484121953618191,"2","Czech Republic"
"448",0.576168864317402,0.0408065042233927,-0.0990498120626424,0.00114785987323021,"2","Denmark"
"473",0.553629172542279,-0.000745982039134188,-0.0790508100946327,-0.00145164464593139,"2","Ecuador"
"498",0.212963074422493,-0.183249772034806,0.107604959602821,0.0152936337748407,"2","Egypt"
"523",0.593711458444721,0.0460992664120457,-0.1260488519604,-0.00156286358386024,"2","Estonia"
"548",0.545166824332455,0.0629509817326721,-0.091093049536842,0.0212300831318981,"2","Finland"
"573",0.0335594278646634,0.136780287550167,0.213451677251113,0.198463304385988,"4","France"
"598",-0.343107819877281,0.206403862042897,0.102168610023795,0.0298844436517298,"4","Germany"
"623",0.532253066867825,0.0428603477716453,-0.0889938578988086,-0.00410279355494403,"2","Greece"
"648",0.559975998850773,0.0302308747433184,-0.0932593490955747,-0.00539933599364834,"2","Hungary"
"673",0.608571834562333,0.0488809570687704,-0.109212731408924,0.0103522184789937,"2","Iceland"
"698",-5.05646917486866,-3.65398333659858,0.816550535821592,-0.0158232026670952,"1","India"
"723",-0.47281788425463,-0.693939996072541,0.143213189691989,-0.0895411426484385,"4","Indonesia"
"748",0.00130919931522068,0.0437710750526366,0.221350095530425,-0.193118793469907,"4","Iran"
"773",0.409020503694727,-0.0111202838744084,0.00147777308646718,-0.0444276283213176,"2","Iraq"
"798",0.576540188385506,0.0455770627961477,-0.0983795157080592,-0.00113101188892048,"2","Ireland"
"823",0.531886390895785,0.0557517619440006,-0.0873019872731101,0.0113131874031848,"2","Israel"
"848",0.190673875910225,0.0242342908265685,0.0927019262677619,0.01152106060958,"4","Italy"
"873",-0.921820762541342,0.330648797216019,0.199812690150698,0.103191231602015,"1","Japan"
"898",0.309288063888091,0.100483626777048,-0.15336073300543,-0.0951645653277386,"2","Kazakhstan"
"923",0.535072037625968,0.0813589563813605,-0.0669848994616586,-0.00785078997270985,"2","Kuwait"
"948",0.610854536050831,0.0377660403769936,-0.111774810209578,5.73063437797616e-05,"2","Latvia"
"973",0.607972379516127,0.0344435975965762,-0.111678150716581,-0.0056317523834738,"2","Lithuania"
"998",0.615081043217397,0.0412537176277627,-0.114667516456456,-0.00460547405338702,"2","Luxembourg"
"1023",0.318403660357702,0.0600961602318315,-0.0548802222034667,-0.0220081238045923,"2","Malaysia"
"1048",-0.042335361721845,-0.161623733426138,0.197398986106171,-0.013542453778387,"4","Mexico"
"1073",0.490401184513576,-0.0633037348282523,-0.0709902669489312,-0.00587563670959115,"2","Morocco"
"1098",0.444020858405138,0.0666605932135945,-0.0557281133780117,-0.0122689158187352,"2","Netherlands"
"1123",0.571726197776338,0.0508414535597183,-0.0935169009229775,0.00982160169242635,"2","New Zealand"
"1148",0.609247238865685,0.0368192618443441,-0.115151808835997,-0.000318546493660254,"2","North Macedonia"
"1173",0.51396188921971,0.0975075423499412,-0.0479790919005551,0.0715395778709943,"2","Norway"
"1198",0.565042551251508,0.0549677004857035,-0.0857331279652328,-0.013797135874141,"2","Oman"
"1223",-0.00776066726821557,-0.64135219863816,0.172568265879649,0.0136951259871682,"2","Pakistan"
"1248",0.502142609830185,-0.0420244221967142,-0.0524966908929932,0.0109652268937053,"2","Peru"
"1273",0.255300576253297,-0.283111199427974,0.00527623592525922,0.0188453673720562,"2","Philippines"
"1298",0.206068830115681,0.0617338162199378,-0.136579010271447,-0.0580467849221786,"2","Poland"
"1323",0.542484333562547,0.0408974773033487,-0.0835992807888166,0.0124493708197013,"2","Portugal"
"1348",0.549060888561519,0.0763308738842198,-0.0770008145425322,-0.0300697287097454,"2","Qatar"
"1373",0.506041028457115,0.0143637323751064,-0.0762047072566344,0.00568241790594745,"2","Romania"
"1398",-1.12924733133337,0.40601765461469,0.459808778992766,-0.192596045231598,"1","Russia"
"1423",0.119759883087907,0.221874593169933,0.172053217437934,-0.118092579911545,"4","Saudi Arabia"
"1448",0.5645123910462,0.0522780100276355,-0.0846668739500483,0.0118663290604119,"2","Singapore"
"1473",0.574234299146687,0.0408688774941638,-0.107129850928136,-0.0012190867666729,"2","Slovak Republic"
"1498",0.600330219967907,0.0433737497366593,-0.110521835649242,0.00265450220727204,"2","Slovenia"
"1523",-0.0195114682044665,0.0601022998856488,-0.210376882281539,-0.0514407580954362,"4","South Africa"
"1548",-0.249863805600264,0.282314979810049,-0.037730302183997,0.0557231457359243,"4","South Korea"
"1573",0.250299980701034,0.0532012443234369,0.0496179174747438,0.0393468930072762,"4","Spain"
"1598",0.556503840768332,-0.0266679545350609,-0.0884154697103118,0.00166646577984686,"2","Sri Lanka"
"1623",0.494497751449091,0.0867552970288674,-0.0413425213068841,0.0855443190926998,"2","Sweden"
"1648",0.552471854063805,0.0483831851465336,-0.0741415406184526,0.0254868443030812,"2","Switzerland"
"1673",0.227223303872426,-0.0701208195073054,0.00993252649371877,-0.0263136788857004,"2","Thailand"
"1698",0.595901906433374,0.0500204080803996,-0.104373275997531,-0.0185975044180058,"2","Trinidad and Tobago"
"1723",0.029335697978858,-0.0251747945128159,0.016931693636852,-0.0122958004012256,"4","Turkey"
"1748",0.565201017933826,0.0479448219687025,-0.0875105357189669,-0.0297997305521392,"2","Turkmenistan"
"1773",0.294750830947928,0.00286904566528991,-0.0693517936792336,-0.00380456660640249,"2","Ukraine"
"1798",0.44408080462854,0.114267116564219,-0.0256996731502726,-0.0276599151293527,"2","United Arab Emirates"
"1823",0.141338523264371,0.0287457050260264,0.129204631658435,0.0169137883352616,"4","United Kingdom"
"1848",-5.23233552079297,2.1437797504844,1.77525262162736,-0.00551088757607143,"3","United States"
"1873",0.48013070805613,-0.0317782310584832,-0.0473399543892401,-0.00382614979080589,"2","Uzbekistan"
"1898",0.451321355831436,0.0117810729565103,-0.0189934449151299,-0.00558325350964176,"2","Venezuela"
"1923",0.145180006652487,-0.170618308508105,-0.0338873880902142,0.0553723099967937,"2","Vietnam"
