X1,year,Total,EDGAR_total,shareExcLULUCF,shareIncLULUCF,CountryGroup
1,1990,37.1696644387082,33.0474789114095,0.282627288666091,0.435725896519412,Global
2,1991,37.2728431504068,33.150764084911,0.282463995763228,0.435491448844609,Global
3,1992,37.2411569677143,33.1190725338146,0.282745312692427,0.43641671366833,Global
4,1993,37.321767776961295,33.1996797792615,0.28182028461103,0.435559423830982,Global
5,1994,37.622073802799406,33.4999770820997,0.282835369476702,0.435583072968656,Global
6,1995,38.3746317611724,34.2525263491727,0.284295122848243,0.434392287544159,Global
7,1996,38.434464851486304,34.8173105550862,0.280282046624868,0.421274973826695,Global
8,1997,39.607987001728105,35.0636425834281,0.280058273090321,0.434412739453795,Global
9,1998,38.974783162962595,34.9807917478626,0.280200646772711,0.427252464647373,Global
10,1999,38.8298995495986,35.1917253087986,0.280844110420939,0.422182827954213,Global
11,2000,39.57087841038499,36.105025603985,0.27369625298386,0.410265576534092,Global
12,2001,40.3811165640362,36.442019164836196,0.273291340986318,0.392480989374679,Global
13,2002,41.8506524922153,36.9790934343153,0.272452651046605,0.403991498649257,Global
14,2003,43.036086925684806,38.5018336200848,0.268029510316866,0.390803994076772,Global
15,2004,44.9656182253776,40.1206360525776,0.267311039738901,0.38996551051319,Global
16,2005,45.9953286535909,41.3979885222909,0.265318541871659,0.381379959029478,Global
17,2006,46.547128091040705,42.726783154140705,0.262046350085138,0.378070782590537,Global
18,2007,47.4773157137878,44.1408347906878,0.258954815474066,0.365340955987462,Global
19,2008,47.746616981860804,44.4414532647608,0.259551072767803,0.36487543634866,Global
20,2009,47.6640472753153,44.049571122615205,0.261747313927508,0.371864028430557,Global
21,2010,49.4660683332233,46.1923111474233,0.253707198032114,0.355198582850367,Global
22,2011,50.834613481821904,47.5032862642219,0.250493605016104,0.336498680666743,Global
23,2012,51.5261199566314,48.1336699865314,0.248291194724598,0.334287964951233,Global
24,2013,52.19970927999469,48.9014308763947,0.247122671928034,0.330655049423687,Global
25,2014,52.899949595909604,49.4007159801096,0.246447544038523,0.33183224619178,Global
26,2015,53.2584720165784,49.4379751522783,0.247269411582444,0.336542727347717,Global
27,1990,20.5956725803948,21.0482291700961,0.192391256897246,0.234713525043994,Industrialised
28,1991,20.374818297706,20.827369515910302,0.192653330971302,0.235485084696481,Industrialised
29,1992,19.9650484545841,20.417594304084403,0.192282004256449,0.236428039442113,Industrialised
30,1993,19.5886256902112,20.041167976311502,0.192874964937193,0.23792916264978,Industrialised
31,1994,19.3769254071628,19.8294589702631,0.194499670274761,0.240119598407671,Industrialised
32,1995,19.4435445973001,19.8960694694004,0.196732603749216,0.242327756907265,Industrialised
33,1996,19.5748886891923,20.1598659679922,0.195450102103759,0.235218181934493,Industrialised
34,1997,19.5115936018124,20.1937489021123,0.195439591260319,0.231315099865704,Industrialised
35,1998,19.588371786222,20.086816444822,0.194140840911464,0.237561615019232,Industrialised
36,1999,19.5816009332286,20.1796277889286,0.194275003366489,0.233649136356606,Industrialised
37,2000,20.010996547136298,20.660192691136302,0.193392503061237,0.229875794662741,Industrialised
38,2001,20.0834654321612,20.606848823061203,0.193977307124601,0.237823922368122,Industrialised
39,2002,20.2841189509265,20.6501912396265,0.194525323377061,0.244362693093953,Industrialised
40,2003,20.7372073421563,21.033091620956302,0.193355438989022,0.244916858271534,Industrialised
41,2004,20.8715224199318,21.3187859435318,0.194666653373896,0.240001114343156,Industrialised
42,2005,20.9541617719549,21.3964593227549,0.195535620834027,0.240955094060718,Industrialised
43,2006,20.6054221386639,21.5670811779639,0.196308123180794,0.251243503884343,Industrialised
44,2007,20.937399035600798,21.8435681767008,0.196593084779128,0.252901061260633,Industrialised
45,2008,20.682287666817697,21.5117169220177,0.198341595732446,0.258536261838989,Industrialised
46,2009,19.2733778548534,20.2955936617534,0.203689962985605,0.260522023131976,Industrialised
47,2010,20.1197163007158,21.0823340950159,0.199156340669057,0.25585464934924,Industrialised
48,2011,20.467770666323503,21.135662715723498,0.199206800924261,0.239203660356084,Industrialised
49,2012,20.4217048661206,21.0107076483206,0.198407232783225,0.241651163625797,Industrialised
50,2013,20.3319827820145,20.9803108204145,0.199489313148881,0.240596191751735,Industrialised
51,2014,20.183991901047502,20.8324202843475,0.201212312661384,0.24271526677997,Industrialised
52,2015,20.0317244170645,20.7063209208645,0.202138520240308,0.242956803250476,Industrialised
53,1990,16.5739918583134,11.999249741313399,0.440912907935386,0.685513939310068,Developing
54,1991,16.8980248527008,12.323394569000799,0.434250087786624,0.676649416324554,Developing
55,1992,17.2761085131302,12.701478229730201,0.428164853445386,0.667532625464083,Developing
56,1993,17.7331420867501,13.158511802950098,0.417289106540455,0.653868463052511,Developing
57,1994,18.245148395636598,13.6705181118366,0.41096870784796,0.643171473142966,Developing
58,1995,18.931087163872302,14.3564568797723,0.405644699383702,0.631655933032234,Developing
59,1996,18.859576162294,14.657444587094,0.396959999673762,0.614388592065878,Developing
60,1997,20.096393399915698,14.8698936813158,0.394972908656942,0.631600290785609,Developing
61,1998,19.386411376740703,14.8939753030407,0.396265531294104,0.618919442859669,Developing
62,1999,19.24829861637,15.01209751987,0.397212416453222,0.613981156986421,Developing
63,2000,19.559881863248698,15.4448329128487,0.381116705933014,0.594815735241784,Developing
64,2001,20.297651131875,15.835170341775001,0.37650540626377,0.545506077789366,Developing
65,2002,21.5665335412888,16.3289021946888,0.371002706646334,0.554128268366055,Developing
66,2003,22.2988795835284,17.4687419991284,0.357940196731878,0.526474119224281,Developing
67,2004,24.0940958054458,18.801850109045798,0.349680067995843,0.519872242939602,Developing
68,2005,25.041166881636002,20.001529199535998,0.339968205730327,0.498885878432867,Developing
69,2006,25.9417059523768,21.159701976176798,0.329050208539175,0.478809323889115,Developing
70,2007,26.539916678187,22.297266613987,0.320047627415303,0.454045037916682,Developing
71,2008,27.0643293150432,22.9297363427432,0.316975236885854,0.446138761659977,Developing
72,2009,28.3906694204618,23.753977460861798,0.311351991954003,0.447450007311704,Developing
73,2010,29.346352032507504,25.109977052407498,0.299508092142738,0.423308300747357,Developing
74,2011,30.3668428154985,26.3676235484984,0.291603892830202,0.402077185972454,Developing
75,2012,31.1044150905108,27.122962338210797,0.286933630887022,0.395108958077275,Developing
76,2013,31.867726497980197,27.9211200559802,0.282915028058565,0.388113655504986,Developing
77,2014,32.715957694862205,28.568295695762103,0.279433738305899,0.38681264467103,Developing
78,2015,33.2267475995139,28.731654231413902,0.279794330337494,0.392963760890576,Developing
